ano_base,sigla,tsg,TSPG
2021,FAED,0.5113636363636364,0.6337931034482759
2022,FAED,0.519774011299435,0.5605759682224429
2022,INBIO,0.35714285714285715,0.27555555555555555
2023,INBIO,0.02,0.06779661016949153
2021,INBIO,0.5729166666666666,0.4358241758241759
2019,INBIO,0.6790123456790124,0.45580645161290323
2018,INBIO,0.75,0.49311926605504586
2020,INBIO,0.4444444444444444,0.9851973684210527
2020,INISA,0.8552631578947368,0.5051020408163265
2018,INISA,1.4375,0.46153846153846156
2019,INISA,0.75,0.5392156862745098
2021,INISA,0.7865168539325843,0.1553030303030303
2022,INISA,0.7126436781609196,0.20437956204379562
